emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,drink_id
0.0,0.0,0.0,0.0,0.044823322,0.0,0.0,0.0,0.0,0.0,0.11293781,0.066030845,0.0,0.0,0.09194948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023823358,0.0,0.05564173,0.0,0.0,0.0,0.0,0.10646637,155
0.0,0.0,0.02791977,0.0026999277,0.0,0.061168518,0.043375663,0.0,0.0,0.020586377,0.20825553,0.18188167,0.0,0.0,0.0,0.0023679212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09604417,0.0,0.04225355,0.04513975,0.0,0.0,0.0,0.2510061,118
0.0,0.0,0.0,0.0,0.050019234,0.0,0.0,0.0,0.0,0.0,0.17247854,0.0654574,0.0,0.0,0.0178345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054558378,0.0,0.0,0.0,0.0,0.0,0.0,0.055337273,3
0.0,0.0,0.0,0.0,0.0,0.006493138,0.0,0.0,0.0,0.0,0.11117843,0.044916287,0.0,0.0029847734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027263975,0.0,0.013774054,0.041550823,0.0,0.0,0.0,0.024101295,1
0.0,0.0,0.0010183752,0.0,0.04876236,0.0,0.0,0.0,0.0,0.0,0.15070711,0.0785697,0.0,0.0,0.014587831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308531,0.0,0.05730974,0.010825936,0.0,0.0,0.0,0.07082904,89
0.0,0.0,0.0071444884,0.0,0.034068283,0.003283984,0.0,0.0,0.0,0.0,0.17754287,0.1304403,0.024011642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0570391,0.0,0.0,0.05244423,0.0,0.0,0.0,0.079873934,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048750903,0.14558487,0.0,0.07384025,0.03490241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13414995,0.046021283,0.058051694,0.0,0.0,0.0,0.0,0.023750938,408
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15322214,0.09985156,0.0,0.0,0.053140316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14337438,0.0,0.0,0.0,0.0,0.0,0.0,0.14429381,391
0.0,0.0,0.0,0.0,0.09183128,0.0,0.0,0.0,0.0,0.019427817,0.104861416,0.12675503,0.0,0.0,0.105806425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090527326,0.0,0.00563135,0.0,0.0,0.0,0.0,0.102203295,286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059088677,0.13995187,0.12754993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10549359,0.0,0.061350044,0.0,0.0,0.0,0.0,0.16641568,126
0.0,0.0,0.0,0.0,0.02437174,0.009153511,0.0,0.0,0.0,0.0,0.17777644,0.113963656,0.0,0.0,0.07794471,0.035275243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055037674,0.0,0.0,0.0,0.0,0.0,0.0,0.17468128,174
0.0,0.0,0.0,0.0,0.03303581,0.0,0.0,0.0,0.0,0.0,0.17603937,0.07111885,0.0,0.0,0.088273704,0.0,0.0,0.005818694,0.0,0.0,0.0,0.0,0.0,0.0,0.049823508,0.0,0.01761315,0.0,0.0,0.0,0.0,0.17747681,179
0.0,0.0,0.0,0.0,0.024289463,0.0,0.0,0.0,0.0,0.0,0.20554486,0.09201367,0.0,0.0,0.01647614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08466862,0.0,0.01771702,0.0058868155,0.0,0.0,0.0,0.10495747,90
0.0,0.010490984,0.039951324,0.021775095,0.0,0.01192067,0.005351275,0.0,0.0,0.039464094,0.14918807,0.22438183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012095451,0.09796943,0.0,0.07998222,0.04263551,0.0,0.0,0.0,0.19725724,124
0.0,0.0,0.0,0.0,0.13052417,0.0,0.0,0.0,0.0,0.037154153,0.12208523,0.104536355,0.0,0.0,0.03277001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07351446,0.0,0.0,0.024963936,0.0,0.0,0.0,0.03406375,53
0.0,0.0,0.0,0.0,0.041300945,0.0,0.0,0.0,0.0,0.0002252683,0.13689044,0.040958278,0.0,0.0,0.07236488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075653054,0.0,0.051645044,0.0,0.0,0.0,0.0,0.13867015,184
0.0,0.0,0.0,0.0,0.041037634,0.0008413661,0.0,0.0,0.0,0.01693428,0.15850186,0.15053344,0.0,0.0,0.0,0.0,0.0,0.0,0.010285019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042708,69
